movie_id,movie_name,release_year,original_release_date,movie_length,rating,movie_producer,movie_director,movie_actor,imdb_rating,imdb_votes,tomatometer_rating,tomatometer_count,audience_rating,audience_count,us_gross_income,worldwide_gross_income,production_budget,oscar_year,award,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Film-Noir,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,movie_producer_main,movie_director_main,movie_actor_1,movie_actor_2,award_Nominee,award_Winner,imdb_rating_scaled,tomatometer_rating_scaled,audience_rating_scaled,avg_rating
11,Disraeli,1929,,90,None,Warner Bros., , ,6.2,1143,0,0,0,0,,,,1929,Nominee,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Warner Bros., , ,,1,0,6.2,0.0,0.0,6.2
12,The Divorcee,1930,,84,None,Metro-Goldwyn-Mayer, , ,6.7,2982,0,0,0,0,,,,1929,Nominee,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Metro-Goldwyn-Mayer, , ,,1,0,6.7,0.0,0.0,6.7
13,The Love Parade,1929,,107,None,Paramount Famous Lasky, , ,7.0,2163,0,0,0,0,,,,1929,Nominee,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,Paramount Famous Lasky, , ,,1,0,7.0,0.0,0.0,7.0
14,Cimarron,1931,1/26/31,123,NR,RKO Radio,Wesley Ruggles,"Richard Dix, Irene Dunne, Estelle Taylor, Nance O'Neil, William Collier, William Collier Jr., Roscoe Ates, George E. Stone, Robert McWade, Frank Darien, Edna May Oliver, Eugene Jackson, Dolores Brown, Gloria Vonic, Otto Hoffman, William Orlamond, Frank Beal, Nancy Dover, Helen Parrish, Donald Dillaway, Junior Johnson, Douglas Scott, Reggie Streeter, Lois Jane Campbell, Ann Lee, Tyrone Brereton, Lillian Lane, Henry Roquemore, Nell Craig, Bob McKenzie, Bob Kortman, Clara Hunt, William Janney, Dennis O'Keefe, Stanley Fields, Frederick Burt, William P. Burt, Frank O'Connor",5.9,5851,50,24,25,1514,,,,1930,Winner,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,RKO Radio,Wesley Ruggles,Richard Dix, Irene Dunne,0,1,5.9,5.0,2.5,5.3
15,East Lynne,1931,,102,None,Fox, , ,5.9,188,0,0,0,0,,,,1930,Nominee,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Fox, , ,,1,0,5.9,0.0,0.0,5.9
16,The Front Page,1931,,101,None,The Caddo Company, , ,6.8,2741,0,0,0,0,15000000.0,15000000.0,4000000.0,1930,Nominee,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,The Caddo Company, , ,,1,0,6.8,0.0,0.0,6.8
17,Skippy,1931,,85,None,Paramount Publix, , ,6.3,772,0,0,0,0,,,,1930,Nominee,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Paramount Publix, , ,,1,0,6.3,0.0,0.0,6.3
18,Trader Horn,1931,,122,None,Metro-Goldwyn-Mayer, , ,6.3,957,0,0,0,0,,,,1930,Nominee,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Metro-Goldwyn-Mayer, , ,,1,0,6.3,0.0,0.0,6.3
19,Grand Hotel,1932,1/1/32,112,NR,Metro-Goldwyn-Mayer,Edmund Goulding,"Greta Garbo, John Barrymore, Joan Crawford, Wallace Beery, Lewis Stone, Jean Hersholt, Robert McWade, Purnell Pratt, Ferdinand Gottschalk, Lionel Barrymore, Rafaela Ottiano, Morgan Wallace, Tully Marshall, Murray Kinnell, Edwin Maxwell, Mary Carlisle, John Davidson, Sam McDaniel, Rolfe Sedan, Herbert Evans, Lee Phelps, Frank Conroy, Bodil Rosing",7.4,18314,86,42,77,7014,,,,1931,Winner,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Metro-Goldwyn-Mayer,Edmund Goulding,Greta Garbo, John Barrymore,0,1,7.4,8.6,7.7,8.200000000000001
20,Arrowsmith,1931,,108,None,Samuel Goldwyn Productions, , ,6.2,1663,0,0,0,0,,,,1931,Nominee,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Samuel Goldwyn Productions, , ,,1,0,6.2,0.0,0.0,6.2
21,Bad Girl,1931,,90,None,Fox, , ,6.5,1248,0,0,0,0,,,,1931,Nominee,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Fox, , ,,1,0,6.5,0.0,0.0,6.5
22,The Champ,1931,11/21/31,86,NR,Metro-Goldwyn-Mayer,King Vidor,"Wallace Beery, Jackie Cooper, Irene Rich, Roscoe Ates, Edward S. Brophy, Hale Hamilton, Jesse Scott, Marcia Mae Jones, Tiffany Clark, Rhonda Jo Petty, Lee Phelps, Frank S. Hagney",7.3,3003,90,10,74,617,,,,1931,Nominee,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Metro-Goldwyn-Mayer,King Vidor,Wallace Beery, Jackie Cooper,1,0,7.3,9.0,7.4,8.433333333333334
23,Five Star Final,1931,,89,None,First National, , ,7.3,1944,0,0,0,0,,,,1931,Nominee,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,First National, , ,,1,0,7.3,0.0,0.0,7.3
24,One Hour with You,1932,,78,None,Paramount Publix, , ,7.2,2317,0,0,0,0,,,,1931,Nominee,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,Paramount Publix, , ,,1,0,7.2,0.0,0.0,7.2
25,Shanghai Express,1932,,82,None,Paramount Publix, , ,7.3,8325,0,0,0,0,,,,1931,Nominee,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Paramount Publix, , ,,1,0,7.3,0.0,0.0,7.3
26,The Smiling Lieutenant,1931,,93,None,Paramount Publix, , ,7.2,3540,0,0,0,0,,,,1931,Nominee,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,Paramount Publix, , ,,1,0,7.2,0.0,0.0,7.2
27,Cavalcade,1933,1/1/33,112,NR,Fox,Frank Lloyd,"Diana Wynyard, Clive Brook, Ursula Jeans, Herbert Mundin, Una O'Connor, Beryl Mercer, Irene Browne, Merle Tottenham, Frank Lawton, John Warburton, Margaret Lindsay, Billy Bevan, Dick Henderson, Douglas Scott, Sheila MacGill, Bonita Granville, Harry Allen, Desmond Roberts, Lionel Belmore, Frank Atkinson, Adele Crane, Ann Shaw, Howard Davies, Will Stanton, Stuart Hall, Betty Grable, Mary Forbes, Lawrence Grant, Winter Hall, Claude King, Tempe Piggott, Des Roberts, John Rogers, C. Montague Shaw, Pat Somerset, David Torrence, Douglas Walton",5.9,4961,59,29,26,1027,,,,1932,Winner,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,Fox,Frank Lloyd,Diana Wynyard, Clive Brook,0,1,5.9,5.9,2.6,5.900000000000001
28,42nd Street,1933,3/9/33,89,NR,Warner Bros.,Lloyd Bacon,"Warner Baxter, Bebe Daniels, George Brent, Ruby Keeler, Dick Powell, Guy Kibbee, Una Merkel, Ginger Rogers, George E. Stone, Harry Akst, Harry Warren, Al Dubin, Robert McWade, Ned Sparks, Eddie Nugent, Allen Jenkins, Clarence Nordstrom, Henry B. Walthall, Albert Akst, Toby Wing, Pat Wing, Tom Kennedy, Busby Berkeley, Wallis Clark, Jack LaRue, Alexis Dubin, Louise Beavers, Dave O'Brien, Patricia Ellis, George Irving, Charles Lane, Rolfe Sedan, Harry Seymour, Gertrude Keeler, Helen Keeler, Joan Barclay, Ann Hovey, Renee Whitney, Dorothy Coonan Wellman, Barbara Rogers, June Glory, Jayne Shadduck, Milton Kibbee, Adele Lacey, Loretta Andrews, Anne Hovey, Margaret La Marr, Mary Jane Halsey, Ruth Eddings, Edna Callaghan, Patricia Farnum, Maxine Cantway, Lynn Browning, Donna Mae Roberts, Lorena Layson, Alice Jans, Eve Marcy, Dorothy White, Evelyn Joice, Agnes Ray, Grace Tobin, Kermit Maynard, Lyle Talbot",7.4,11342,96,25,74,7561,2300000.0,2300000.0,439000.0,1932,Nominee,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,Warner Bros.,Lloyd Bacon,Warner Baxter, Bebe Daniels,1,0,7.4,9.6,7.4,8.866666666666667
29,A Farewell to Arms,1932,12/8/32,80,NR,Paramount,Frank Borzage,"Gary Cooper, Helen Hayes, Adolphe Menjou, Mary Philips, Jack LaRue, Blanche Frederici, Henry Armetta, George Humbert, Fred Malatesta, Mary Forbes, Tom Ricketts, Robert Cauterio, Gilbert Emery, Peggy Cunningham, Agostino Borgato, Paul Porcasi, Alice Adair, Inez Palange, Doris Lloyd, Herman Bing",6.5,5567,93,14,53,5697,,,,1932,Nominee,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,Paramount,Frank Borzage,Gary Cooper, Helen Hayes,1,0,6.5,9.3,5.3,8.366666666666667
30,I Am a Fugitive from a Chain Gang,1932,,92,None,Warner Bros., , ,8.2,12604,0,0,0,0,,,,1932,Nominee,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Warner Bros., , ,,1,0,8.2,0.0,0.0,8.2
31,Lady for a Day,1933,,96,None,Columbia, , ,7.4,3971,0,0,0,0,,,,1932,Nominee,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Columbia, , ,,1,0,7.4,0.0,0.0,7.4
32,Little Women,1933,11/16/33,115,NR,RKO Radio,George Cukor,"Katharine Hepburn, Joan Bennett, Frances Dee, Jean Parker, Spring Byington, Paul Lukas, Edna May Oliver, Henry Stephenson, Douglass Montgomery, John Davis Lodge, Samuel S. Hinds, John Lodge, Mabel Colcord, Marion Ballou, Nydia Westman, June Filmer, Harry Beresford, Marina Schubert, Dorothy Gray, Olin Howland",7.2,6778,94,16,78,9776,50003303.0,50003303.0,15000000.0,1932,Nominee,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,RKO Radio,George Cukor,Katharine Hepburn, Joan Bennett,1,0,7.2,9.4,7.8,8.666666666666666
33,The Private Life of Henry VIII,1933,9/21/33,97,NR,London Films,Alexander Korda,"Charles Laughton, Merle Oberon, Binnie Barnes, Elsa Lanchester, Robert Donat, Miles Mander, Claude Allister, John Loder, Claud Allister, Lawrence Hanray, Wendy Barrie, Lady Tree, Everley Gregg, William Austin, John Turnbull, Frederick Culley, Gibb McLaughlin, Sam Livesey, Franklin Dyall, Judy Kelly, William Heughan",7.1,4090,100,16,74,1295,,,,1932,Nominee,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,London Films,Alexander Korda,Charles Laughton, Merle Oberon,1,0,7.1,10.0,7.4,9.033333333333333
34,She Done Him Wrong,1933,2/9/33,66,NR,Paramount,Lowell Sherman,"Mae West, Cary Grant, Gilbert Roland, Noah Beery Sr., Owen Moore, David Landau, Rafaela Ottiano, Noah Beery Sr., Dewey Robinson, Rochelle Hudson, Tammany Young, Fuzzy Knight, Grace La Rue, Robert E. Homans, Louise Beavers, Wade Boteler, Aggie Herring, Tom Kennedy, James Eagles, Tom McGuire, Al Hill, Arthur Housman, Mary Gordon, Michael Mark, Mike Donlin, Harry Wallace, Lee Kohlmar, Frank Moran, Heinie Conklin, Jack Carr, Ernie S. Adams",6.4,5899,91,22,53,2240,2000000.0,2000000.0,200000.0,1932,Nominee,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Paramount,Lowell Sherman,Mae West, Cary Grant,1,0,6.4,9.1,5.3,8.200000000000001
35,Smilin' Through,1932,,98,None,Metro-Goldwyn-Mayer, , ,6.9,1266,0,0,0,0,,,,1932,Nominee,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Metro-Goldwyn-Mayer, , ,,1,0,6.9,0.0,0.0,6.9
36,State Fair,1933,,99,None,Fox, , ,6.8,829,0,0,0,0,3500000.0,3500000.0,4500000.0,1932,Nominee,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Fox, , ,,1,0,6.8,0.0,0.0,6.8
37,It Happened One Night,1934,2/22/34,105,NR,Columbia,Frank Capra,"Claudette Colbert, Clark Gable, Walter Connolly, Jason Thomas, Roscoe Karns, Jameson Thomas, Ward Bond, Henry Wadsworth, Alan Hale, Claire McDowell, Arthur Hoyt, Blanche Frederici, Wallis Clark, Charles D. Brown, Hal Price, Eddy Chandler, Douglas Carter Beane, Ky Robinson, J. Frank Holliday, James Burke, Joseph Crehan, Matty Roubert, Sherry Hall, Mickey Daniels, Charles C. Wilson, George Breakston, Earl Pingree, Harry Hume, Oliver Eckhardt, Bess Flowers, Fred Walton, Ethel Sykes, Edmund Burns, Rev. Neal Dodd, Milton Kibbee, Eva Dennison, Eddie Kane, Harry Holman, Tom Ricketts, Maidel Turner, Irving Bacon, Frank Yaconelli, Harry C. Bradley, Harry Todd, Bert Starkey, Rita Ross, Ernie S. Adams, Billy Engle, Dave Wengren, Kit Guard",8.1,98409,98,60,93,33678,2500000.0,2500000.0,325000.0,1934,Winner,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Columbia,Frank Capra,Claudette Colbert, Clark Gable,0,1,8.1,9.8,9.3,9.233333333333333
38,The Barretts of Wimpole Street,1934,9/8/34,109,NR,Metro-Goldwyn-Mayer,Sidney Franklin,"Norma Shearer, Fredric March, Charles Laughton, Ian Wolfe, Maureen O'Sullivan, Katherine Alexander, Una O'Connor, Marion Clayton, Ralph Forbes, Vernon P. Downing, Neville Clarke, Neville Clark, Matt Smith, Matthew Smith, Robert Carleton, Alan Conrad, Peter Hobbes, Ferdinand Munier, Leo G Carroll, Margaret Seddon, George Kirby, Winter Hall, Lowden Adams, Robert Bolder, Leo Carrillo",7.0,1795,78,9,69,335,,,,1934,Nominee,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Metro-Goldwyn-Mayer,Sidney Franklin,Norma Shearer, Fredric March,1,0,7.0,7.8,6.9,7.533333333333334
39,Cleopatra,1934,,100,None,Paramount, , ,6.8,3678,0,0,0,0,48000000.0,62000000.0,36000000.0,1934,Nominee,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Paramount, , ,,1,0,6.8,0.0,0.0,6.8
40,Flirtation Walk,1934,,97,None,First National, , ,5.7,700,0,0,0,0,,,,1934,Nominee,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,First National, , ,,1,0,5.7,0.0,0.0,5.7
41,The Gay Divorcee,1934,10/12/34,107,NR,RKO Radio,Mark Sandrich,"Fred Astaire, Ginger Rogers, Betty Grable, Alice Brady, Edward Everett Horton, Erik Rhodes, Eric Blore, Lillian Miles, Charles Coleman, William Austin, Paul Porcasi, E.E. Clive, George Davis, Alphonse Martell, Charles H. Bisharat, Charles D. Hall, Art Jarrett",7.5,7455,93,14,82,3378,,,,1934,Nominee,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,RKO Radio,Mark Sandrich,Fred Astaire, Ginger Rogers,1,0,7.5,9.3,8.2,8.700000000000001
42,Here Comes the Navy,1934,,87,None,Warner Bros., , ,6.3,940,0,0,0,0,,,,1934,Nominee,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Warner Bros., , ,,1,0,6.3,0.0,0.0,6.3
43,The House of Rothschild,1934,,88,None,20th Century, , ,6.6,1127,0,0,0,0,,,,1934,Nominee,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,20th Century, , ,,1,0,6.6,0.0,0.0,6.6
44,Imitation of Life,1934,11/26/34,111,NR,Universal,John M. Stahl,"Claudette Colbert, Louise Beavers, Fredi Washington, Warren William, Ned Sparks, Juanita Quigley, Marilyn Knowlden, Rochelle Hudson, Sebie Hendricks, Dorothy Black, Alan Hale, Clarence Wilson, Henry Armetta, Henry Kolker, Wyndham Standing, Alice Ardell, Paul Porcasi, William B. Davidson, G.P. Huntley Jr., Noel Francis, Baby Jane Holzer, Walter Walker, G.P. Huntley, Franklin Pangborn, Tyler Brooke, William Austin, Alma Tell, Hazel Washington, Lenita Lane, Barry Norton, Joyce Compton, Reverend Gregg, Curry Lee, Claire McDowell, Mme. Sul Te Wan, Madame Sul-Te-Wan, Stuart Johnston, Fred 'Snowflake' Toones, Hattie McDaniel, Dennis O'Keefe",7.5,4423,92,24,85,4562,,,,1934,Nominee,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Universal,John M. Stahl,Claudette Colbert, Louise Beavers,1,0,7.5,9.2,8.5,8.633333333333333
45,One Night of Love,1934,,84,None,Columbia, , ,5.7,577,0,0,0,0,,,,1934,Nominee,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,Columbia, , ,,1,0,5.7,0.0,0.0,5.7
46,The Thin Man,1934,5/23/34,91,NR,Metro-Goldwyn-Mayer,W.S. Van Dyke,"William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton, Minna Gombell, Porter Hall, Henry Wadsworth, William Henry, Harold Huber, Cesar Romero, Natalie Moorhead, Edward S. Brophy, Creighton Hale, Phil Tead, Nick Copeland, Dink Templeton, Ruth Channing, Edward Ellis, Gertrude Short, Clay Clement, Cyril Thornton, Robert E. Homans, Raymond Brown, Douglas Fowley, Sherry Hall, Polly Bailey, Thomas E. Jackson, Dixie Laughton, Arthur Belasco, Edward Hearn, Garry Owen, Fred Malatesta, Rolfe Sedan, Leo White, Walter Long, Kenneth Gibson, Tui Lorraine Bow, Bert Roach, Huey White, Ben Taggart, Charles Williams, John Larkin, Harry Tenbrook, Pat Flaherty",8.0,27959,97,39,93,12999,,,,1934,Nominee,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Metro-Goldwyn-Mayer,W.S. Van Dyke,William Powell, Myrna Loy,1,0,8.0,9.7,9.3,9.133333333333333
47,Viva Villa!,1934,,115,None,Metro-Goldwyn-Mayer, , ,6.4,1277,0,0,0,0,,,,1934,Nominee,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Metro-Goldwyn-Mayer, , ,,1,0,6.4,0.0,0.0,6.4
48,The White Parade,1934,,80,None,Jesse L. Lasky (production company), , ,6.8,86,0,0,0,0,,,,1934,Nominee,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Jesse L. Lasky (production company), , ,,1,0,6.8,0.0,0.0,6.8
49,Mutiny on the Bounty,1935,11/8/35,132,NR,Metro-Goldwyn-Mayer,Frank Lloyd,"Charles Laughton, Clark Gable, Franchot Tone, Herbert Mundin, Eddie Quillan, Dudley Digges, Donald Crisp, Henry Stephenson, Francis Lister, Spring Byington, Movita, Mamo Clark, Ian Wolfe, Ivan Simpson, DeWitt Jennings, Stanley Fields, Wallis Clark, Vernon P. Downing, Dick Winslow, Byron Russell, Percy Waram, David Torrence, John Harrington, Robert Livingston, Douglas Walton, Alec Craig, Doris Lloyd, Eric Wilton, Lionel Belmore, Nadine Beresford, Marion Clayton, Mary Gordon, Winter Hall, James Cagney, David Niven, Charles Nauu, Sam Wallace Driscoll, Hal Le Sueur, William Bambridge, David Thursby, Crauford Kent, Pat Flaherty, Charles Irwin, John Powers, King Mojave, William Stack, Harold Entwistle, Will Stanton, Harry Cording",7.7,21805,93,41,83,8061,,,,1935,Winner,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Metro-Goldwyn-Mayer,Frank Lloyd,Charles Laughton, Clark Gable,0,1,7.7,9.3,8.3,8.766666666666667
50,Alice Adams,1935,1/1/35,99,NR,RKO Radio,George Stevens,"Katharine Hepburn, Fred MacMurray, Fred Stone, Evelyn Venable, Frank Albertson, Ann Shoemaker, Charley Grapewin, Grady Sutton, Hedda Hopper, Jonathan Hale, Janet McLeod, Virginia Howell, Zeffie Tilbury, Ella McKenzie, Hattie McDaniel",6.9,4020,94,17,71,2419,,,,1935,Nominee,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,RKO Radio,George Stevens,Katharine Hepburn, Fred MacMurray,1,0,6.9,9.4,7.1,8.566666666666668
51,Broadway Melody of 1936,1935,,101,None,Metro-Goldwyn-Mayer, , ,6.8,1662,0,0,0,0,,,,1935,Nominee,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,Metro-Goldwyn-Mayer, , ,,1,0,6.8,0.0,0.0,6.8
52,Captain Blood,1935,12/28/35,119,NR,Cosmopolitan,Michael Curtiz,"Errol Flynn, Olivia de Havilland, Basil Rathbone, Lionel Atwill, Guy Kibbee, George Hassell, Robert H. Barrat, Donald Meek, J. Carroll Naish, Mary Forbes, Henry Stephenson, Jessie Ralph, Ross Alexander, Forrester Harvey, Frank McGlynn Sr., Hobart Cavanaugh, David Torrence, Pedro de Cordoba, Leonard Mudie, Stuart Casey, Halliwell Hobbes, Colin Kenny, E.E. Clive, Holmes Herbert, Reginald Barlow, Ivan Simpson, Denis D'Auburn, Vernon Steele, James Gardner, Georges Renavent, Murray Kinnell, Harry Cording, Maude Leslie, Chris-Pin Martin, David Thursby, Yola d'Avril, Renee Terres, Henry Otho, Lucille Porcett, Tina Minard, Alphonse Martell, Andre Cheron, Frank Puglia, Tom Wilson",7.7,13708,100,27,89,8194,,,,1935,Nominee,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Cosmopolitan,Michael Curtiz,Errol Flynn, Olivia de Havilland,1,0,7.7,10.0,8.9,9.233333333333333
53,David Copperfield,1935,,130,None,Metro-Goldwyn-Mayer, , ,7.4,4069,0,0,0,0,,,,1935,Nominee,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Metro-Goldwyn-Mayer, , ,,1,0,7.4,0.0,0.0,7.4
